Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Dodaj možnost,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Vsi uporabniki so že v skupini,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Od 25. maja je začel veljati RGPD in vsi ga moramo spoštovati.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Nekaj vprašajte člana ali skupino,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Se želite odjaviti?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,"Mehanizmi, ki so na voljo za izvedbo",Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Član je bil uspešno odstranjen iz skupine,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,V zadnjih ni novih članov,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Preiščite celotno omrežje reporting2you,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Izberite več kot en stik,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,121 je obvezno,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,12-mesečno povprečje,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 mesecev,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 mesecev:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 mesecev,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 dni,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,1. leto zadrževanja,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Evolucija,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 - Prejšnji mesec,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 tedne,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 dni,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 mesecev,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,7-mesečne naloge za analizo,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Aktivirajte naloge za 7 mesečno analizo,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Vektor uspeha,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 tednov,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Velikost,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Okrajšava,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Odsotnost,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Odsotnost je obvezna,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Aktivna poglavja brez novih članov v zadnjih 45 dneh,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Račun je bil uspešno ustvarjen,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Akcija,Yes
I18N_ACTIONS,,Actions,Dejanja,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Datum aktivacije,Yes
I18N_ACTIVE,I18NCode for Active,Active,Aktiven,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Aktivna poglavja,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Aktivno poglavje Ni novega člana,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Aktiven,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Potreben je aktivni spremljevalec,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Aktivni člani,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Potreben je aktivni član,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Aktivno članstvo,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Aktivirajte Naloge,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Aktivirajte naloge v sistemu,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Aktivirajte Zero-to-Ones,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Aktivirajte Zero-to-Ones,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,dejavnosti,Yes
